ID	Level	Area	Name	Log Message Example	Description	Format
0F000001	INFO	Proxy / Connection Framework Manager	HTTPS content inspection list imported	HTTPS content inspection exception list imported	"When a pre-defined HTTPS exception list is imported, this event log is generated to inform the user."	HTTPS content inspection exception list imported
0F010015	WARN	Proxy / Connection Framework Manager	APT threat notified	APT threat notified. Details='%s'	"When APT server analysis result returned and identified as certain level threat, this event log will be generated to inform that the APT notification has been sent with detailed information."	APT threat notified. Details='Policy Name: HTTPS-proxy-00 Reason: high APT threat detected Task_UUID: d09445005c3f4a9a9bb78c8cb34edc2a Source IP: 10.0.1.2 Source Port: 43130 Destination IP: 67.228.175.200 Destination Port: 443 Proxy Type: HTTP Proxy Host: analysis.lastline.com Path: /docs/lastline-demo-sample.exe'
0F010016	INFO	Proxy / Connection Framework Manager	APT safe result from file submission. Details='%s'	APT safe result from file submission. Details='%s'	Ñ	APT safe result from file submission. Details='Policy Name: HTTP-OUT-00 Reason: clean Message: APT safe object Task_UUID: 7a1e1500e92a410fa44d907f96b9209e MD5: d2723ba60dc88ec1ea449be9eee601cc Source IP: 10.0.1.2 Source Port: 50293 Destination IP: 100.100.100.3 Destination Port: 80 Proxy Type: HTTP Proxy Host: 100.100.100.3 Path: /test.exe'
1C0200CD	ERROR	Proxy / FTP	Ruleset lookup failed	Cannot get the rule from ruleset '%s'	FTP proxy -- Failed to check the specified ruleset	Cannot get the rule from ruleset 'request/download'
1B0400CE	ERROR	Proxy / SMTP	Ruleset lookup failed	Ruleset '%s' lookup failed	SMTP proxy -- Failed to check the specified ruleset	Ruleset 'envelope/greeting' lookup failed
1DFF0000	INFO	Proxy / DNS	Invalid number of questions	DNS invalid number of questions	The traffic was blocked because the message included an invalid number of questions.	"Deny 1-Trusted 0-External udp 10.0.1.5 192.168.53.143 56701 53 msg="ProxyDeny: DNS invalid number of questions" (DNS-proxy-00)"
1DFF0001	INFO	Proxy / DNS	Query name oversized	DNS oversized query name	"The DNS query was blocked because the DNS query name exceeded the allowed buffer size, which varies from 0 kilobytes to 64 kilobytes."	"Deny 1-Trusted 0-External udp 10.0.1.5 192.168.53.143 56702 53 msg="ProxyDeny: DNS oversized query name" (DNS-proxy-00)"
1DFF0002	INFO	Proxy / DNS	Query name compressed	DNS compressed query name	The DNS query was blocked because the domain name was compressed.	"Deny 1-Trusted 0-External udp 10.0.1.5 192.168.53.143 56703 53 msg="ProxyDeny: DNS compressed query name" (DNS-proxy-00)"
1DFF0003	INFO	Proxy / DNS	Parse error	DNS Parse error	The DNS request was blocked because the proxy failed to parse the domain name.	"Deny 1-Trusted 0-External udp 10.0.1.5 192.168.53.143 56704 53 msg="ProxyDeny: DNS parse error" (DNS-proxy-00)"
1DFF0004	INFO	Proxy / DNS	Not Internet CLASS	DNS Not Internet CLASS	The DNS query was not Internet CLASS. The log message specifies the action taken and the CLASS.	"Deny 1-Trusted 0-External udp 10.0.1.5 192.168.53.143 46828 53 msg="ProxyDeny: DNS Not Internet CLASS" proxy_act="DNS-Outgoing.1" query_class="ANY" (DNS-proxy-00)"
