ID	Level	Area	Name	Log Message Example	Description	Format	Message Variables
020B0001	INFO	VPN / IPSEC	Tunnel status changed	BOVPN tunnel 'tunnel.2' local 172.16.12.81/255.255.255.255 remote 172.16.13.204/255.255.255.255 under gateway 'gateway.1' is down	The status of the IPSec tunnel changed to up or down.	%s tunnel '%s' local %s remote %s under gateway '%s' is %s	${tunnel_type} tunnel '${tunnel}' local ${local} remote ${remote} under gateway '$(gateway}' is ${status}
2000001	ERROR	VPN / IPSEC	Default certificate not found	The default IPSec certificate is not installed on the device	The IPSec tunnel could not be negotiated because the default IPSec certificate is not installed or is not valid.	The default IPSec certificate is not installed on the device	Ð
2000002	ERROR	VPN / IPSEC	Failed to read certificate	Could not read [DSA | RSA] certificate with [n] ID	The IPSec tunnel could not be negotiated because the IPSec certificate is not valid.	Could not read %s certificate with %d ID	Could not read ${cert_type} certificate with ${id} ID
2020001	WARN	VPN / IPSEC	IP address not available for Mobile VPN with IPSec user	Virtual IP address from 'abcd' address pool is not available for Mobile VPN with IPSec user 'Bob'	All virtual IP addresses allocated to this Mobile VPN with IPSec group are already assigned. New Mobile VPN with IPSec tunnels cannot be established unless existing tunnels are deleted.	Virtual IP address from '%s' address pool is not available for Mobile VPN with IPSec user '%s'	Virtual IP address from ${pool_name} address pool is not available for Mobile VPN with IPSec user ${user}
2030002	ERROR	VPN / IPSEC	IKE Phase 1 expecting main mode	IKE phase-1 negotiation from 172.16.12.82:500 to 172.16.12.81:500 failed. Gateway-Endpoint='gateway.1' Reason=Received 'Aggressive mode' exchange type. Expecting main mode.	IKE Phase 1 negotiation failed because of incorrect exchange type in proposal from remote gateway. The log message specifies the expected and received exchange type.	IKE phase-1 negotiation from %s to %s failed. Gateway-Endpoint='%s' Reason=Received '%s' exchange type. Expecting main mode.	IKE phase-1 negotiation from ${local_addr} to ${peer_addr} failed. Gateway-Endpoint='${gw-ep}' Reason=Received '${exchange_type}' exchange type. Expecting main mode.
2030003	ERROR	VPN / IPSEC	IKE Phase 1 expecting aggressive mode	IKE phase-1 negotiation from 172.16.12.82:500 to 172.16.12.81:500 failed. Gateway-Endpoint='gateway.1' Reason=Received 'Main mode' exchange type. Expecting aggressive mode.	IKE Phase 1 negotiation failed because of incorrect exchange type in proposal from remote gateway. The log message specifies the expected and received exchange type.	IKE phase-1 negotiation from %s to %s failed. Gateway-Endpoint='%s' Reason=Received '%s' exchange type. Expecting aggressive mode.	IKE phase-1 negotiation from ${local_addr} to ${peer_addr} failed. Gateway-Endpoint='${gw-ep}' Reason=Received '${exchange_type}' exchange type. Expecting aggressive mode.
2030004	ERROR	VPN / IPSEC	IKE Phase 1 DH group mismatch	"IKE phase-1 negotiation from 172.16.12.82:500 to 172.16.12.81:500 failed. Gateway-Endpoint='gateway.1' Reason=Received DH group 2, expecting 14"	IKE Phase 1 negotiation failed because of incorrect Diffe-Hellman group in proposal from remote gateway. The log message specifies the received and expected group number.	"IKE phase-1 negotiation from %s to %s failed. Gateway-Endpoint='%s' Reason=Received DH group %d, expecting %d"	"IKE phase-1 negotiation from ${local_addr} to ${peer_addr} failed. Gateway-Endpoint='${gw-ep}' Reason=Received DH group ${received}, expecting ${expected}"
2030005	ERROR	VPN / IPSEC	IKE Phase 1 hash mismatch	"IKE phase-1 negotiation from 172.16.12.82:500 to 172.16.12.81:500 failed. Gateway-Endpoint='gateway.1' Reason=Received hash SHA1, expecting MD5"	IKE Phase 1 negotiation failed because of incorrect hash type in proposal from remote gateway. The log message specifies the received and expected hash type.	"IKE phase-1 negotiation from %s to %s failed. Gateway-Endpoint='%s' Reason=Received hash %s, expecting %s"	"IKE phase-1 negotiation from ${local_addr} to ${peer_addr} failed. Gateway-Endpoint='${gw-ep}' Reason=Received hash ${received}, expecting ${expected}"
2030006	ERROR	VPN / IPSEC	IKE Phase 1 encryption mismatch	"IKE phase-1 negotiation from 172.16.12.82:500 to 172.16.12.81:500 failed. Gateway-Endpoint='gateway.1' Reason=Received encryption 3DES, expecting AES"	IKE Phase 1 negotiation failed because of incorrect encryption type in proposal from remote gateway. The log message specifies the received and expected encryption type.	"IKE phase-1 negotiation from %s to %s failed. Gateway-Endpoint='%s' Reason=Received encryption %s, expecting %s"	"IKE phase-1 negotiation from ${local_addr} to ${peer_addr} failed. Gateway-Endpoint='${gw-ep}' Reason=Received encryption ${received}, expecting ${expected}"
2030007	ERROR	VPN / IPSEC	IKE Phase 1 authentication method mismatch	"IKE phase-1 negotiation from 172.16.12.82:500 to 172.16.12.81:500 failed. Gateway-Endpoint='gateway.1' Reason=Received authentication method PSK, expecting RSA certificate"	IKE Phase 1 negotiation failed because of incorrect authentication method in proposal from remote gateway. The log message specifies the received and expected authentication methods.	"IKE phase-1 negotiation from %s to %s failed. Gateway-Endpoint='%s' Reason=Received authentication method %s, expecting %s"	"IKE phase-1 negotiation from ${local_addr} to ${peer_addr} failed. Gateway-Endpoint='${gw-ep}' Reason=Received authentication method ${received}, expecting ${expected}"
2030008	ERROR	VPN / IPSEC	IKE Phase 1 AES key length mismatch	"IKE phase-1 negotiation from 172.16.12.82:500 to 172.16.12.81:500 failed. Gateway-Endpoint='gateway.1' Reason=Received AES key length 128, expecting 256"	IKE Phase 1 negotiation failed because of incorrect AES key length in proposal from remote gateway. The log message specifies the received and expected AES key length.	"IKE phase-1 negotiation from %s to %s failed. Gateway-Endpoint='%s' Reason=Received AES key length %d, expecting %d"	"IKE phase-1 negotiation from ${local_addr} to ${peer_addr} failed. Gateway-Endpoint='${gw-ep}' Reason=Received AES key length ${received}, expecting ${expected}"
2030009	ERROR	VPN / IPSEC	IKE Phase 1 invalid first message	IKE phase-1 negotiation from 172.16.12.82:500 to 172.16.12.81:500 failed. Gateway-Endpoint='gateway.1' Reason=Received invalid main/aggressive mode first message. Check VPN IKE diagnostic log messages for more information.	IKE Phase 1 negotiation failed because of invalid first message received by local gateway. The log message specifies the reason.	IKE phase-1 negotiation from %s to %s failed. Gateway-Endpoint='%s' Reason=Received invalid main/aggressive mode first message. Check VPN IKE diagnostic log messages for more information.	IKE phase-1 negotiation from ${local_addr} to ${peer_addr} failed. Gateway-Endpoint='${gw-ep}' Reason=Received invalid main/aggressive mode first message. Check VPN IKE diagnostic log messages for more information.
2030010	INFO	VPN / IPSEC	IKE Phase 1 matching Main Mode policy not found	IKE phase-1 negotiation from 172.16.12.82:500 to 172.16.12.81:500 failed. Reason=Main mode matching policy not found	IKE Phase 1 negotiation because local gateway did not find a matching Aggressive mode policy.	IKE phase-1 negotiation from %s to %s failed. Reason=Main mode matching policy not found	IKE phase-1 negotiation from ${local_addr} to ${peer_addr} failed. Reason=Main mode matching policy not found
2030011	ERROR	VPN / IPSEC	IKE Phase 1 remote gateway ID mismatch	IKE phase-1 negotiation from 172.16.12.82:500 to 172.16.12.81:500 failed. Gateway-Endpoint='gateway.1' Reason=Authentication failure due to mismatched ID setting	IKE Phase 1 negotiation failed because remote ID in gateway configuration did not match proposal from remote gateway.	IKE phase-1 negotiation from %s to %s failed. Gateway-Endpoint='%s' Reason=Authentication failure due to mismatched ID setting	IKE phase-1 negotiation from ${local_addr} to ${peer_addr} failed. Gateway-Endpoint='${gw-ep}' Reason=Authentication failure due to mismatched ID setting
2030012	ERROR	VPN / IPSEC	IKE Phase 1 pre-shared key authentication failure	IKE phase-1 negotiation from 172.16.12.82:500 to 172.16.12.81:500 failed. Gateway-Endpoint='gateway.1' Reason=Pre-shared key authentication failure	IKE Phase 1 negotiation failed because pre-shared key in proposal did not match gateway configuration.	IKE phase-1 negotiation from %s to %s failed. Gateway-Endpoint='%s' Reason=Pre-shared key authentication failure	IKE phase-1 negotiation from ${local_addr} to ${peer_addr} failed. Gateway-Endpoint='${gw-ep}' Reason=Pre-shared key authentication failure
2030013	INFO	VPN / IPSEC	IKE Phase 1 negotiation failed	IKE phase-1 negotiation from 2.2.2.2:500 to 1.1.1.1:500 failed. Reason=Received invalid message	IKE Phase 1 negotiation failed because of the reason specified in the log	IKE phase-1 negotiation from %s:%d to %s:%d failed. Reason=%s	IKE phase-1 negotiation from ${src}:${sport} to ${dst}:${dport} failed - ${reason}
2030014	INFO	VPN / IPSEC	Received informational error message	Received 'Invalid Exchange Type' message from 172.16.12.81:500 for 'gateway.1' gateway endpoint. Check VPN IKE diagnostic log messages on the remote gateway endpoint for more information.	Received the specified information or error message from remote gateway.	Received '%s' message from %s for '%s' gateway endpoint. Check VPN IKE diagnostic log messages on the remote gateway endpoint for more information.	Received '${info_msg}' message from ${peer_addr} for '${gw-ep}' gateway endpoint. Check VPN IKE diagnostic log messages on the remote gateway endpoint for more information.
2030015	ERROR	VPN / IPSEC	IKE Phase 1 retry timeout	IKE phase-1 negotiation from 172.16.12.81:500 to 172.16.12.82:500 failed. Gateway-Endpoint='gateway.1' Reason=Message retry timeout. Check the connection between local and remote gateway endpoints.	IKE Phase 1 negotiation failed because of no response from remote site.	IKE phase-1 negotiation from %s to %s failed. Gateway-Endpoint='%s' Reason=Message retry timeout. Check the connection between local and remote gateway endpoints.	IKE phase-1 negotiation from ${local_addr} to ${peer_addr} failed. Gateway-Endpoint='${gw-ep}' Reason=Message retry timeout. Check the connection between local and remote gateway endpoints.
2030016	WARN	VPN / IPSEC	Mobile user rejected - maximum user connections reached	Rejected MUVPN IPSec user from 2.2.2.2 because maximum allowed user connections has been reached. Maximum:50	Specified Mobile VPN with IPSec user connection rejected because the specified concurrent user connections limit has been reached. The log message specifies the concurrent user connections limit.	Rejected MUVPN IPSec user from %s because maximum allowed user connections has been reached. Maximum:%d	Rejected MUVPN IPSec user from ${peer_addr} because maximum allowed user connections has been reached. Maximum:${max_value}
2030017	ERROR	VPN / IPSEC	CA certificate not available	IKE phase-1 negotiation from 172.16.12.82:500 to 172.16.12.81:500 failed. Gateway-Endpoint='gateway.1' Reason=No CA certificate available	IKE phase-1 negotiation failed because no Certificate Authority (CA) certificate is available.	IKE phase-1 negotiation from %s to %s failed. Gateway-Endpoint='%s' Reason=%s	IKE phase-1 negotiation from ${local_addr} to ${peer_addr} failed. Gateway-Endpoint='${gw-ep}' Reason=${reason}
2030017	ERROR	VPN / IPSEC	CA certificate not available	IKE phase-1 negotiation from 172.16.12.82:500 to 172.16.12.81:500 failed. Gateway-Endpoint='gateway.1' Reason=No CA certificate available	IKE phase-1 negotiation failed because no Certificate Authority (CA) certificate is available.	IKE phase-1 negotiation from %s to %s failed. Gateway-Endpoint='%s' Reason=%s	IKE phase-1 negotiation from ${local_addr} to ${peer_addr} failed. Gateway-Endpoint='${gw-ep}' Reason=${reason}
2030018	ERROR	VPN / IPSEC	IKE Phase 1 peer certificate CA is not supported	IKE phase-1 negotiation from 172.16.12.82:500 to 172.16.12.81:500 failed. Gateway-Endpoint='gateway.1' Reason=Peer certificate is not issued by known trusted CA	IKE Phase 1 negotiation failed because peer certificate is not issued by a known and trusted Certificate Authority(CA).	IKE phase-1 negotiation from %s to %s failed. Gateway-Endpoint='%s' Reason=%s	IKE phase-1 negotiation from ${local_addr} to ${peer_addr} failed. Gateway-Endpoint='${gw-ep}' Reason=${reason}
2030019	ERROR	VPN / IPSEC	IKE Phase 1 received certificate with invalid CA name	IKE phase-1 negotiation from 172.16.12.82:500 to 172.16.12.81:500 failed. Gateway-Endpoint='gateway.1' Reason=Received certificate with invalid CA name	IKE Phase 1 negotiation failed because of invalid Certificate Authority (CA) name in certificate for remote gateway.	IKE phase-1 negotiation from %s to %s failed. Gateway-Endpoint='%s' Reason=%s	IKE phase-1 negotiation from ${local_addr} to ${peer_addr} failed. Gateway-Endpoint='${gw-ep}' Reason=${reason}
2030020	ERROR	VPN / IPSEC	IKE Phase 1 possible shared secret mismatch	IKE phase-1 negotiation from 172.16.12.82:500 to 172.16.12.81:500 failed. Gateway-Endpoint='gateway.1' Reason=Message decryption failed due to possible shared secret mismatch	IKE Phase 1 negotiation failed because of possible shared key mismatch.	IKE phase-1 negotiation from %s to %s failed. Gateway-Endpoint='%s' Reason=Message decryption failed due to possible shared secret mismatch	IKE phase-1 negotiation from ${local_addr} to ${peer_addr} failed. Gateway-Endpoint='${gw-ep}' Reason=Message decryption failed due to possible shared secret mismatch
2030021	WARN	VPN / IPSEC	DPD R_U_THERE_ACK not received	Remote gateway 'gateway.1' with IP 172.16.13.204:500 did not send DPD R_U_THERE_ACK message. 2 retries left	"Firebox or XTM device sent a DPD_R_U_THERE request to remote gateway, but did not receive DPD R_U_THERE_ACK response. The log message specifies the number of retries before it will delete the VPN tunnel."	Remote gateway '%s' with IP %s did not send DPD R_U_THERE_ACK message. %d retries left	Remote gateway '${gw-ep}' with IP ${peer_addr} did not send DPD R_U_THERE_ACK message. ${n} retries left.
2030022	WARN	VPN / IPSEC	DPD max failure	Remote gateway 'gateway.1' with IP 172.16.13.204:500 presumed dead due to DPD failure. Deleted all tunnels that use this gateway. Check the connection between local and remote gateway endpoints.	The Firebox or XTM device deleted a VPN tunnel because the remote gateway did not respond to DPD R_U_THERE requests.	Remote gateway '%s' with IP %s presumed dead due to DPD failure.%s	Remote gateway '${gw-ep}' with IP ${peer_addr} presumed dead due to DPD failure. ${action}
