D	Level	Area	Name	Log Message Example	Description	Format	ID
3A000002	INFO	Cluster / Event Monitoring	VRRP enabled	VRRP is now enabled for Cluster.	Virtual Router Redundancy Protocol (VRRP) is now enabled for this Active/Passive Cluster.	VRRP is now enabled for Cluster.	Ð
3A000004	INFO	Cluster / Event Monitoring	VRRP start master	Virtual Router with cluster ID 1 started in master state.	VRRP started in master state.	Virtual Router with cluster ID %d started in master state.	Virtual Router with cluster ID ${value} started in master state.
3A000005	INFO	Cluster / Event Monitoring	VR shutdown	Virtual Router with cluster ID 1 returned to initial state.	Virtual Router returned to initial state.	Virtual Router with cluster ID %d returned to initial state.	Virtual Router with cluster ID ${id} returned to initial state
3A000006	INFO	Cluster / Event Monitoring	VR pause	Virtual Router with cluster ID 1 becomes backup on pause event	Virtual Router becomes backup due to a pause event.	Virtual Router with cluster ID %d becomes backup on pause event	Virtual Router with cluster ID ${id} becomes backup on pause event
3A000007	INFO	Cluster / Event Monitoring	VR resume	Virtual Router with cluster ID 1 becomes master on resume event	Virtual Router becomes master due to a resume event.	Virtual Router with cluster ID %d becomes master on resume event	Virtual Router with cluster ID ${id} becomes master on resume event
3A000008	INFO	Cluster / Event Monitoring	VR backup state	Virtual Router with cluster ID 1 state changed from master to backup	Virtual Router state changed from master to backup	Virtual Router with cluster ID %d state changed from master to backup	Virtual Router with cluster ID ${id} state changed from master to backup
3A00000A	INFO	Cluster / Event Monitoring	VR notification gap	Member 80B20002E5BCD Virtual Router with cluster ID 1 changed state to master due to 3 second notification gap from current master with IP 10.0.4.1	Member Virtual Router changed state to master due to notification gap from current master	Member %s Virtual Router with cluster ID %d changed state to master due to %d second notification gap from current master with IP %s	Member ${member} Virtual Router with cluster ID ${id} changed state to master due to ${value} second notification gap from current master with IP ${ip}
3A00000B	INFO	Cluster / Event Monitoring	VRRP master state	Virtual Router with cluster ID 1 state changed to master	Virtual Router state changed to master	Virtual Router with cluster ID %d state changed to master	Virtual Router with cluster ID ${id} state changed to master
3A00000C	ERROR	Cluster / Event Monitoring	VRRP initialization failed	Cluster VRRP initialization failed	Initialization of Virtual Router Redundancy Protocol (VRRP) failed.	Cluster VRRP initialization failed	Ð
38000002	ERROR	Cluster / Management	DHCP overwrite	A DHCP server is interfering with static address assignment of cluster IP address 10.0.0.1 on eth0. Disable DHCP server access to eth5.	"A DHCP server has attempted to assign an IP address to cluster member on the Cluster Interface. This log message recommends the admin isolate the Cluster interface network from the DHCP server, and specifies the interface number and IP address the cluster attempted to assign to the member."	A DHCP server is interfering with static address assignment of cluster IP address %s on eth%d. Disable DHCP server access to eth%d.	A DHCP server is interfering with static address assignment of cluster IP ${ip} on eth${port}. Please disable DHCP server access to eth${port}.
