ID	Level	Area	Name	Log Message Example	Description	Format	Message Variables
55010010	INFO	Management / System	USB drive format	USB drive format operation was successful	USB drive format operation was %s	USB drive format operation was %s	USB drive format ${result}
55010014	INFO	Management / System	Generate system diagnostic file failed	Generate system diagnostic file to USB drive failed	Generate system diagnostic file to %s failed	Generate system diagnostic file to %s failed	Generate system diagnostic file to ${device} failed
55010015	INFO	Management / System	Periodic support snapshot is enabled	System periodic support snapshot is enabled	System periodic support snapshot is enabled	System periodic support snapshot is enabled	–
55010017	INFO	Management / System	Generate system diagnostic successfully	Exported system diagnostic file to server successfully	Exported system diagnostic file to %s successfully	Exported system diagnostic file to %s successfully	Generate system diagnostic file to ${device} successfully
55010018	INFO	Management / System	Reset to the default configuration failed	Reset to the default configuration failed when the device was rebooted.	The default configuration settings were not restored after a system reset.	Reset to the default configuration failed when the device was rebooted.	–
5501000C	INFO	Management / System	Device restore failed	Device auto restore from USB drive image failed due to USB drive not found	Device auto restore from a specific image in a USB drive disc or normal restore from a normal image failed	Device %s restore from %s image failed due to %s	Device ${restore_type} restore from ${image_source} image failed for ${reason}
5501000D	INFO	Management / System	Creating USB auto restore image failed	Creation of USB auto restore image failed due to no USB drive	Creation of USB auto restore image failed due to %s	Creation of USB auto restore image failed due to %s	Creation of USB auto restore image failed: ${reason}
5501001B	INFO	Management / System	System backup failed	System backup to USB drive failed due to write file to USB drive error	System backup %s%s failed due to %s.	System backup %s%s failed due to %s.	System backup ${dest device} failed: ${reason}
5501001C	INFO	Management / System	USB auto restore failed reason	USB auto restore failed due to not detect the USB drive	USB auto restore failed due to %s	USB auto restore failed due to %s	USB auto restore failed for ${reason}
300	INFO	Management / Accounting	User login succeeded	Management user admin from 10.0.1.2 logged in	"A user successfully logged in. The log message specifies the user type, user name, and IP address."	%s %s%s%s from %s logged in%s%s%s%s	${user_type} ${user_name}${auth_server} from {ipaddr} logged in ${virtual_ip} ${msg}
3000	WARN	Management / Accounting	User login failed	Management user admin from 10.0.1.2 log in attempt was rejected.	"A user log in attempt failed. The log message specifies the user type, user name, IP address, and the failure reason, if available."	%s %s%s%s from %s log in attempt was rejected%s%s%s%s	${user_type} ${user_name}${auth_server} from {ipaddr} rejected ${virtual_ip} ${msg}
30000	INFO	Management / Accounting	User logout	Management user admin from 10.0.1.2 logged out	"A user successfully logged out. The log message specifies the user type, user name, and IP address."	%s %s%s%s from %s logged out%s%s%s%s	${user_type} ${user_name}${auth_server} from {ipaddr} logged out ${virtual_ip} ${msg}
11000003	INFO	Management / Authentication	Authentication server unavailable	Authentication server 192.168.1.1:389 is not responding	The external authentication server is not available.	Authentication server %s:%d is not responding	–
11000004	INFO	Management / Authentication	User authentication succeeded	Authentication of firewall user [user1@Firebox-DB] from 198.51.100.2 was accepted	"The user successfully authenticated. The log message specifies whether this is an administrative user, a firewall user, or another type of user."	Authentication of %s user [%s@%s] from %s was accepted	Authentication of ${user_type} user [${user_name}@${auth_server}] from ${ipaddr} was accepted.
11000005	WARN	Management / Authentication	User authentication failed	"Authentication of MUVPN user [user1@Firebox-DB] from 198.51.100.2 was rejected, password is incorrect"	User authentication failed. The log message specifies the reason.	"Authentication of %s user [%s@%s] from %s was rejected, %s"	"Authentication of ${user_type} user [${user_name}@${auth_server}] from ${ip_addr} was rejected, ${reason}"
