ID	Level	Area	Name	Log Message Example	Description	Format	Message Variables		
5A000001	INFO	Networking / Dynamic DNS	Response from Dynamic DNS server	"Response from server: update succeeded with no change, abusive warning (1)"	Receive the specified response from the dynamic DNS server.	Response from server: %s (%d)	Response from server: ${response} (${ret_code})		
5A000002	INFO	Networking / Dynamic DNS	Dynamic DNS Domain Name Resolved	Resolved domain members.dyndns.org to 204.13.248.111	Dynamic DNS server domain name successfully resolved to an IP address.	Resolved domain %s to %s	Resolved domain ${domain} to ${ip}		
5A000003	INFO	Networking / Dynamic DNS	Connected to the server	Connected to: members.dyndns.org / 204.13.248.111	Connected to the specified dynamic DNS server.	Connected to: %s / %s	Connected to: ${server_name} / ${server_ip}		
5A000004	INFO	Networking / Dynamic DNS	Connecting to the server	Connecting to: members.dyndns.com / 204.13.248.111	Connecting to the specified dynamic DNS server.	Connecting to: %s / %s	Connecting to: ${server_name} / ${server_ip}		
5A000005	INFO	Networking / Dynamic DNS	Activate dynamic DNS	Activating DynDNS on interface: External	Activate dynamic DNS on the specified interface.	Activating Dynamic DNS on interface: %s	Activating DynDNS on interface: ${if_name}		
5A000006	DEBUG	Networking / Dynamic DNS	Received reply from the server	"Received reply: HTTP/1.1 200 OK Date: Tue, 27 Nov 2012 17:14:57 GMT Server: Apache Content-Type: text/plain Connection: close good 192.168.53.88"	Received the specified reply from the dynamic DNS server.	"%s: Buffer Overflow. buf start[%p], buf end[%p], current pointer[%p]"	Received reply: ${reply}		
5A000007	ERROR	Networking / Dynamic DNS	Unable to resolve domain name	Could not resolve server: members.dyndns.org	Could not resolve domain for dynamic DNS server.	Could not resolve server: %s	Could not resolve server: ${server}		
5A000008	ERROR	Networking / Dynamic DNS	Failed to connect to the server	"Could not connect to members.dyndns.org / 204.13.248.111, connection refused"	Could not connect to the dynamic DNS server due to specified reason.	"Could not connect to %s / %s, %m"	"Could not connect to ${server_name} / ${server_ip}, ${reason}"		
5A000009	ERROR	Networking / Dynamic DNS	Unable to connect to server	Unable to connect to server: members.dyndns.org / 204.13.248.111	Unable to connect to the specified dynamic DNS server.	Unable to connect to server: %s / %s	Unable to connect to server: ${server_name} / ${server_ip}		
5A00000A	ERROR	Networking / Dynamic DNS	No response from server	No response from server members.dyndns.org / 204.13.248.111	Not able to get response from specified dynamic DNS server.	No response from server %s / %s	No response from server ${server_name} / ${server_ip}		
5A00000B	ERROR	Networking / Dynamic DNS	Invalid response from server	Invalid response from server (-2)	The dynamic DNS server returned an invalid response code. The log message specifies that code.	Invalid response from server (%d)	Invalid response from server (${ret_code})		
5A00000C	INFO	Networking / Dynamic DNS	The time for next update	"Next update is on Tue, 27 Nov 2012 17:14:57"	The log message specifies the next update time for dynamic DNS.	Next update is on %s	Next update is on ${time}		
